|__dataLog__userId,Alien DB,Communication Center,Concepts DB,Mission Control,Missions DB,Notebook,Periodic Table,Probe Design,Solar DB,Spectra,Gender,MC_Average,solution_score,TAP_ALL,TAV_ALL,SAP_ALL,SAV_ALL,OAP_ALL,OAV_ALL
QZHNrEVaVoYnAv3jQijfLrPuKvm1,22,1,3,9,9,17,3,9,13,2,2,54.28,7,17,17,13,13,14,19
2peDMFDWOpSy4j14PPcx56P7OQx2,14,5,3,5,9,6,25,8,27,6,1,56.71,3,18,18,18,18,18,17
CIMSAeAELvbokZXY9Ft4v2isxzG3,21,8,6,6,2,6,1,13,5,3,2,72.69,0,19,18,19,18,18,19
GFjiNo87EcbWjT00oULB09taHQN2,27,4,7,8,4,2,2,20,7,2,2,72.08,6,20,20,21,20,18,18
kHnjd8ZVo6N4dA30rJHZBk7XpNG3,24,9,3,6,6,22,2,11,9,4,2,53.87,7,20,21,16,19,14,18
GaU3qPPqtZhrqSEFqV7m2NfY5do1,17,4,3,9,2,2,4,24,5,4,2,81.87,0,21,20,20,17,17,18
WyluZuLqgxYBeBKdJ6IliBEtnLY2,7,4,4,14,3,9,1,6,14,2,2,62.25,5,20,20,18,18,12,14
vPbyKRVFB6bEbkvjs0aghXbAcX82,8,2,2,12,3,1,24,36,2,2,1,62.34,0,16,16,12,15,9,15
1pMrtLogSlOmZQYZYKYrLZ72fqV2,21,3,3,7,3,15,3,14,4,3,1,73.71,0,20,21,20,21,18,20
HOcnZZM9EiO7SxVoBPhakTgIH942,10,14,2,10,2,2,2,11,5,2,1,52.56,0,16,18,15,17,6,6
yIpt6jdIUobKDPKlk1xeIEc27lD3,4,14,11,12,5,3,1,16,14,1,1,80.53,1,21,21,20,21,15,17
Fb3m5JEQ8ZPzxWtzqoqwm5qi64g2,17,10,0,7,0,0,0,38,0,0,1,88.17,0,21,21,18,20,20,20
cO5Nk8JJiwaKlc3St98xySHcl3M2,31,2,2,3,3,2,1,12,2,2,1,48.88,2,21,21,20,18,13,15
QaNYXvtKhlgfpQPEKN4XRbmo6qu2,51,15,2,1,3,13,1,0,14,5,2,59.38,4,18,12,12,14,18,12
JVHrBGObFVV7ms5SgVg4wjvmqkG2,20,5,5,6,5,16,1,17,8,6,2,56.98,6,15,18,17,16,21,20
84HNp616OJYeUDFhuko3dcrWNE93,27,3,2,7,3,6,1,12,12,6,1,82.04,5,18,18,18,18,18,18
dIqc088645UBDu6Cmnb8UpLRDnm2,21,3,3,6,2,8,2,18,6,2,1,63.87,0,18,19,14,19,10,19
BXPDvoJnWhRC8HyybJknplVXhn32,16,18,4,4,3,12,2,20,14,3,1,70.06,3,16,17,18,19,11,14
ZJCaTwNK4natXqDcqsXjXyXLzaV2,30,8,3,7,2,3,0,11,5,3,2,72.37,3,21,21,16,17,19,21
q7ncQ0hSelNYZvPVpYfgSuiG9hD3,18,5,3,1,9,7,1,2,14,4,2,71.85,5,19,18,20,19,15,16
Z5AbIAgzX0fEHeEm3Go2DhReqV82,33,12,1,7,3,10,0,5,4,7,2,63.42,0,16,15,15,15,3,3
jDrzFkwtHIcnDV6MtfPU08N2pKK2,17,4,6,1,1,7,1,24,20,3,2,69.7,0,18,18,13,13,3,3
eZzdG4Xf4oPO9UaO7BqEYlFRJgP2,20,7,9,18,4,10,6,9,5,18,2,53.74,1,17,18,18,18,18,18
lm2qFO6WfkSTV8ebhU1Ddf8CmwZ2,10,5,5,6,8,18,2,8,13,3,2,74.94,5,21,21,20,21,18,21
STknlyDYW3eGi8cEky2WwoSAE562,12,34,2,7,1,5,1,9,13,4,2,70.69,3,16,17,17,17,16,15
OR50LMU2lOPrcItcewZ20YrnFn53,40,7,1,1,22,10,1,11,43,3,1,75.06,0,21,21,21,21,12,13
2wuuSLTznaeBbnAPcmC7vowyQmh2,17,4,4,7,2,3,1,11,9,6,2,38.92,7,15,13,9,11,9,9
KajoOYMb0AUfB7g4mxbqguA7cRK2,9,4,0,8,2,3,1,20,15,3,2,43.71,5,21,21,21,21,11,21
VfSuMysqAKRFC0ytT2LkRpAg2SH2,12,4,5,14,2,9,11,12,8,3,1,43.36,5,17,17,17,16,18,20
Pr444x9PMiVZiI9s5VMU4O9aA712,27,2,12,1,3,36,0,4,23,7,2,55.98,0,21,19,16,17,15,21
z40gBgQuOLQn2ICJo2XFGaOuWvu1,14,5,2,9,5,6,1,25,3,2,1,56.79,0,18,18,19,19,12,14
vArakBtn9yPHulA0kq3ExCxeEEt1,18,2,1,6,0,3,0,29,4,3,1,72.91,5,21,21,21,20,14,15
jNRDbnArYSV2xBV1M4blejtu2wk1,19,11,31,6,3,17,1,12,12,7,1,61.77,0,21,8,13,8,20,5
CuDiGQXzqtWQjl2pLj3oYGlj7bh1,23,4,3,8,6,4,3,39,11,4,2,42.25,7,17,20,15,16,12,12
4ILWG9mY00h3bYxGkThPtHfYyTS2,12,3,1,3,2,1,2,6,2,2,2,70.13,2,17,17,12,12,17,15
s5u8TW7UrOPSoo5Wxc9V700oBw62,28,3,4,2,2,2,1,2,5,6,2,66,0,21,21,21,21,21,3
ZsLRKWOJrQezVtoDFZHNkVwNys82,25,4,1,6,1,10,4,30,7,9,2,57.98,7,18,18,19,18,18,18
pneFQGUSPRZME9Y3GC0aUMyu5Kh1,9,5,4,12,3,5,1,29,6,2,2,80.88,0,17,20,17,21,21,21
XqxPVWQAmSaRXzw1I7EmWOvigAs2,18,11,3,14,3,10,1,20,21,15,2,38.6,6,18,20,18,20,16,17
3Qt0zLJesbbyAaEIPyJTSW07Bs72,14,11,6,17,2,17,0,11,12,2,2,55.83,5,14,17,16,14,14,15
gO89rv5rxJStSpY0K0ffW47xxXk2,13,4,7,2,6,4,3,1,6,4,1,99.42,3,21,21,21,21,20,21
96hSvq4xqvO1Arh5RR6BY2Dv1MG2,12,4,0,13,2,0,1,22,0,0,1,87.81,0,20,18,19,19,19,19
E5P1fTqfvdboI90M2LsTZjsVpT93,12,6,2,4,2,2,2,2,15,2,1,79.75,2,12,15,13,13,13,15
keJykZshlSVmajAw2Hkd1QpGnmx1,12,12,3,20,1,8,4,29,7,5,2,62.25,6,18,18,14,12,18,18
3xi9VVM0ARflexbGqdUaxjIQvJI3,46,3,3,9,4,10,5,0,30,6,2,76.94,4,15,16,13,17,12,16
bPDGtus6KpOkMWEoacv7VtLVrV03,17,3,5,10,5,10,24,18,9,4,2,73.57,7,17,16,16,17,17,18
XcmIpIpsSVchBpQ5ew0mwQU5ZVA2,14,5,38,20,6,8,16,34,12,8,2,60.38,7,16,17,17,14,9,16
HtMmgQdrTieMD5eZOMAURqbEYNY2,21,17,4,4,5,9,7,2,15,18,2,56.91,0,21,21,21,21,21,21
0fRkhhWuhVT3kuILHaOleFXMXi92,11,4,14,2,1,14,1,8,0,1,1,58.06,0,18,18,18,18,18,18
kIF4EV8dnRTyFV6k0KPGQF0U4Fx1,11,9,1,2,2,8,3,15,8,4,2,82.56,6,18,18,19,18,16,18
XAOnZPAcUCTqCjRWyGvndFYQrk82,14,8,4,10,2,13,5,17,11,6,1,55.29,5,17,18,14,15,21,21
28fe00golhRLcRrqM1osDcwC2tf2,11,9,1,11,2,0,0,15,1,1,1,71.42,3,18,18,18,18,18,17
ztOUgdqmTmXiVS8Fi8d4dGo7Mem1,18,6,3,7,1,15,1,29,13,5,1,68.3,3,18,18,19,18,7,17
rBFftAdbIjSQjglZ65qggU5Gbb03,15,6,1,18,4,3,3,10,8,4,1,73.6,4,18,19,19,16,20,20
zCi3TkiD2fYksnFi338YT2EdE7F2,23,8,2,7,2,4,3,9,4,6,2,57.13,7,11,8,10,8,10,9
428Yt8HlHYTVhSDkmTcfJ2sKz413,11,15,0,13,4,4,2,23,7,5,1,52.9,2,21,21,16,21,21,21
zQjpXy6PYQVLzXTIUbOnUhtWMsC2,11,10,4,24,2,3,2,22,2,7,2,69.23,0,20,6,15,12,19,8
BQczsmq9toRnOlobwEPqpfnMUcP2,8,7,1,12,1,1,1,26,2,1,2,63.21,0,17,17,17,17,17,19
L7KaNUmKdgVxSRhFdIq1i471lEx1,23,4,4,8,3,7,0,21,1,6,2,55.45,0,19,8,19,18,21,19
A43dlmljU4dcK2heKWnLTZhBorF3,20,3,6,6,7,5,1,14,12,5,1,67.47,0,21,21,21,21,21,21
MglSDTTcXMY0NwLMALFSrx02CX62,8,3,5,14,2,4,0,33,1,4,2,37.87,4,18,18,19,19,17,18
HeNd2eYp7xPyaAde7FFtGRmj9BA2,10,7,1,26,1,2,3,24,3,4,2,70.62,5,21,19,19,18,8,9
0kniMnNUf7bFVVJ5CkEqtjSSRsf1,20,3,5,1,11,10,5,1,13,5,1,57.69,0,20,19,17,18,18,17
91dP6MU3yDXubxo8MsOYyc8ItmI2,35,5,3,12,6,3,3,29,13,3,1,46.54,4,18,18,17,18,16,17
ogGkloz0XaZcrpbvHolqQskcTp82,13,19,2,6,3,7,1,21,17,5,2,55.06,7,15,15,12,14,15,14
KtiRbirl8pNgIY2GRKmmDfF5b1w2,26,4,1,23,3,8,1,27,0,4,2,79.12,4,16,16,15,15,8,9
dNrCdtmHMYPZHaSwo0JIIWke2Mu1,11,10,1,3,2,5,2,5,10,2,1,55.69,7,18,19,18,18,10,12
R0xdcXdxKfSZwxEd9lS0eigPC2J3,0,6,2,0,3,2,4,0,22,2,1,63.6,0,16,17,17,15,17,15
TBZZUyBOFzSNsGlb5gnqsg94oHA3,17,5,8,11,2,6,1,16,1,6,1,61.35,0,21,21,17,14,14,16
ybN779ZUxuSf4dMqOOOtFKwpabv2,21,6,3,10,2,12,6,17,4,3,2,62.26,4,16,15,15,13,18,17
tRPJLydtTJTWKbSuNmfefG5sq1T2,18,5,2,6,1,11,4,3,5,3,2,45.53,7,18,19,18,18,18,18
CKKht5P8IJZtgvojrIbek098e3F3,43,8,2,2,3,4,1,2,13,5,1,72,4,17,16,17,14,15,16
w6lxT1UyXHb7oeIRPU24URuZS053,8,9,1,20,3,7,0,16,1,0,2,48.19,0,15,15,15,13,11,13
b0FgNkEyfmNrvFsEIxxuD4nnozy1,13,12,2,7,1,14,3,16,9,18,2,71.04,0,21,20,19,19,17,18
GcncIdUDiEQctDmmeqYO3tAn5lT2,23,7,0,2,2,25,3,22,24,5,1,80.77,2,21,21,20,19,16,19
5TJM6Gbpr9ao0L5ci1uPTyCLPrN2,15,35,0,14,0,0,0,24,0,0,1,54.28,0,18,18,17,18,17,18
BV9CpDlsUDUqsed8fmcgiS8mdlm2,19,7,3,2,5,8,18,1,14,3,2,58.85,7,13,12,14,14,15,12
scu39yUaS9RFPQGYYxQGufgTK1S2,39,14,5,1,4,4,12,2,13,3,1,73.15,2,19,19,18,18,18,18
mpFRBIuB9CW5T84YsFE76NJozMV2,4,6,4,3,4,4,1,1,2,1,2,63.81,0,15,15,15,16,15,16
U9qXE2p6uygPI0O5bE5yzbglkGd2,32,10,2,18,3,1,36,19,13,3,2,61.45,4,18,12,16,11,18,16
4xXmpNTzmGh59v1Cd8su630Zihe2,21,15,2,11,3,2,2,22,6,5,2,75.44,4,21,18,20,21,20,21
PnPWW74JbPNIZfeNGDfUndcv6vY2,20,14,4,8,2,7,1,14,5,3,1,53.75,7,21,21,9,14,8,16
sp7FCCAGqFOyMLEUbmzCinieg1E2,10,4,1,24,2,14,3,29,12,4,1,53.96,5,18,18,18,18,15,15
f9RoodxVQNQtuJE0gwOaK8jwFIy2,23,3,5,25,2,16,1,11,12,3,2,64.02,7,17,20,9,16,16,17
isVqkVvqBQgcVRVa0dIlunT9n9N2,24,3,24,8,2,8,3,5,7,4,2,51.21,5,11,11,16,17,12,19
rLswO9M8H7Q6OaDphRpAoGzofcH3,13,7,0,11,0,0,0,6,0,0,2,100,0,21,21,21,21,21,21
SQPKsPtE6CdkAfs7hXCeNnRSf5U2,11,5,5,4,4,9,4,6,14,5,2,60.9,4,15,15,17,13,13,12
KkBFkRUQx3UhLjP0aGHtzkwWKLp1,31,2,4,5,4,11,4,34,12,3,2,37.49,5,17,15,15,16,15,15
m5AySyfwYUNiMTpNZrtHHVhcRKo1,33,11,2,6,15,8,2,22,23,4,2,98.27,4,18,18,18,16,18,18
7iTP3f8GOpPq5XMFcCm7aBQYo113,12,8,3,13,3,5,3,14,17,7,2,57.88,0,18,18,16,16,12,12
N1THqFjdBkUxYQNHRlfQa2YNKl62,18,4,3,12,6,14,3,26,24,3,2,58.46,5,18,17,16,15,9,11
XuiM176agZSWNoD4RWmywEemO752,9,3,2,14,0,6,0,25,6,2,1,79.58,5,18,18,18,18,18,18
sCC0mysrsfQdTXMLxYtoizDUQJX2,29,2,2,12,1,4,0,18,1,3,2,63.06,3,21,21,21,20,18,18
bLvlvp0sHDNFv5bplu5Cbuv9UDu2,17,3,4,17,1,9,1,26,5,5,1,51.43,4,18,20,17,19,17,21
IiV17GKEoIhYduajmMEAOBlBaPE3,12,15,3,14,2,4,1,29,27,4,2,56,3,17,18,18,17,21,20
sr16RxeDRNe8tNCWtXeWgSQiUjV2,17,5,1,3,2,3,12,5,5,5,1,59.89,6,20,12,15,18,10,8
TUqYRqJtN4bQmwH5Ezy6lSJRJFf1,22,9,1,5,2,3,0,9,6,1,1,67.06,0,17,18,17,18,10,14
0eMO7JyKimSMtLXKqCv9c6q9PcI2,20,7,6,4,3,8,4,17,4,8,1,51.48,7,15,15,16,13,14,13
mFfNtWtNMGes8aCC3cQlbjzASG73,22,4,2,6,3,3,1,5,5,3,1,60.15,0,18,18,18,18,16,16
mQDrUg2kTcX4iQ8eK2TXqpArlXo1,29,8,0,21,3,8,1,7,5,3,1,68.57,0,20,18,19,20,18,18
q3KnEGXsXPhl2A3hh6k7YmRnNCM2,35,3,1,9,4,7,25,8,5,3,1,68.92,6,21,19,21,21,18,21
MWuwcEoI38QkeZwUF9FN9DI6KZJ2,20,6,11,20,3,10,7,15,5,5,1,54.04,0,17,21,16,11,10,13
fEAO6wAxYKP9N2emp4TaUuyQvbV2,26,3,1,5,3,6,3,29,23,2,2,83.73,4,18,18,20,20,18,18
L8obw0J5wMYTzNRHRGkfbxJwXbI3,17,6,3,12,5,17,3,22,7,5,2,57.26,4,21,21,19,20,11,16
