|__dataLog__action	|__dataLog__note	|__dataLog__timestamp	|__dataLog__userId
Walking Through	ProbeDoor1	"Friday, March 2, 2018 3:27 PM"	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Walking Through	AlienDoor1	"Friday, March 2, 2018 3:27 PM"	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Walking Through	AlienDoor1	"Friday, March 2, 2018 3:27 PM"	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Walking Through	AlienDoor1	"Friday, March 2, 2018 3:30 PM"	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Walking Through	AlienDoor1	"Friday, March 2, 2018 3:31 PM"	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Walking Through	AlienDoor1	"Friday, March 2, 2018 3:35 PM"	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Walking Through	MissionDoor1	"Friday, March 2, 2018 3:35 PM"	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Walking Through	MissionDoor1	"Friday, March 2, 2018 3:36 PM"	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Walking Through	AlienDoor1	"Friday, March 2, 2018 3:36 PM"	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Walking Through	MissionDoor1	"Friday, March 2, 2018 3:48 PM"	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Walking Through	MissionDoor1	"Friday, March 2, 2018 3:48 PM"	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Walking Through	ProbeDoor1	"Friday, March 2, 2018 3:48 PM"	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Walking Through	ProbeDoor1	"Friday, March 2, 2018 3:49 PM"	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Walking Through	ProbeDoor1	"Friday, March 2, 2018 3:55 PM"	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Walking Through	ProbeDoor1	"Friday, March 2, 2018 4:00 PM"	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Walking Through	MissionDoor1	"Friday, March 2, 2018 4:00 PM"	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Walking Through	MissionDoor1	"Friday, March 2, 2018 4:06 PM"	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Walking Through	ProbeDoor1	"Friday, March 2, 2018 4:06 PM"	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Walking Through	ProbeDoor1	"Friday, March 2, 2018 4:08 PM"	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Walking Through	MissionDoor1	"Friday, March 2, 2018 4:08 PM"	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Walking Through	MissionDoor1	"Friday, March 2, 2018 4:09 PM"	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Walking Through	AlienDoor1	"Friday, March 2, 2018 4:09 PM"	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Walking Through	AlienDoor1	"Friday, March 2, 2018 4:12 PM"	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Walking Through	ProbeDoor1	"Friday, March 2, 2018 4:12 PM"	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Walking Through	MissionDoor1	"Friday, March 2, 2018 4:14 PM"	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Walking Through	MissionDoor1	"Friday, March 2, 2018 4:15 PM"	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Walking Through	MissionDoor1	"Friday, March 2, 2018 4:22 PM"	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Walking Through	AlienDoor1	"Friday, March 2, 2018 4:24 PM"	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Walking Through	AlienDoor1	"Wednesday, April 4, 2018 9:30 AM"	2peDMFDWOpSy4j14PPcx56P7OQx2
Walking Through	AlienDoor1	"Wednesday, April 4, 2018 9:37 AM"	2peDMFDWOpSy4j14PPcx56P7OQx2
Walking Through	ProbeDoor1	"Wednesday, April 4, 2018 9:38 AM"	2peDMFDWOpSy4j14PPcx56P7OQx2
Walking Through	ProbeDoor1	"Wednesday, April 4, 2018 9:38 AM"	2peDMFDWOpSy4j14PPcx56P7OQx2
Walking Through	MissionDoor1	"Wednesday, April 4, 2018 9:46 AM"	2peDMFDWOpSy4j14PPcx56P7OQx2
Walking Through	MissionDoor1	"Wednesday, April 4, 2018 9:47 AM"	2peDMFDWOpSy4j14PPcx56P7OQx2
Walking Through	AlienDoor1	"Wednesday, April 4, 2018 9:48 AM"	2peDMFDWOpSy4j14PPcx56P7OQx2
Walking Through	AlienDoor1	"Wednesday, April 4, 2018 9:55 AM"	2peDMFDWOpSy4j14PPcx56P7OQx2
Walking Through	ProbeDoor1	"Wednesday, April 4, 2018 9:55 AM"	2peDMFDWOpSy4j14PPcx56P7OQx2
Walking Through	ProbeDoor1	"Wednesday, April 4, 2018 9:56 AM"	2peDMFDWOpSy4j14PPcx56P7OQx2
Walking Through	ProbeDoor1	"Wednesday, April 4, 2018 9:56 AM"	2peDMFDWOpSy4j14PPcx56P7OQx2
Walking Through	AlienDoor1	"Wednesday, April 4, 2018 9:56 AM"	2peDMFDWOpSy4j14PPcx56P7OQx2
Walking Through	MissionDoor1	"Wednesday, April 4, 2018 9:56 AM"	2peDMFDWOpSy4j14PPcx56P7OQx2
Walking Through	MissionDoor1	"Wednesday, April 4, 2018 9:57 AM"	2peDMFDWOpSy4j14PPcx56P7OQx2
Walking Through	ProbeDoor1	"Wednesday, April 4, 2018 10:13 AM"	2peDMFDWOpSy4j14PPcx56P7OQx2
Walking Through	ProbeDoor1	"Wednesday, April 4, 2018 10:13 AM"	2peDMFDWOpSy4j14PPcx56P7OQx2
Walking Through	MissionDoor1	"Wednesday, April 4, 2018 10:21 AM"	2peDMFDWOpSy4j14PPcx56P7OQx2
Walking Through	MissionDoor1	"Wednesday, April 4, 2018 10:22 AM"	2peDMFDWOpSy4j14PPcx56P7OQx2
Walking Through	AlienDoor1	"Monday, March 26, 2018 10:17 AM"	GFjiNo87EcbWjT00oULB09taHQN2
Walking Through	ProbeDoor1	"Monday, March 26, 2018 10:43 AM"	GFjiNo87EcbWjT00oULB09taHQN2
Walking Through	ProbeDoor1	"Monday, March 26, 2018 10:53 AM"	GFjiNo87EcbWjT00oULB09taHQN2
Walking Through	MissionDoor1	"Monday, March 26, 2018 10:53 AM"	GFjiNo87EcbWjT00oULB09taHQN2
Walking Through	MissionDoor1	"Monday, March 26, 2018 10:54 AM"	GFjiNo87EcbWjT00oULB09taHQN2
Walking Through	ProbeDoor1	"Monday, March 26, 2018 10:54 AM"	GFjiNo87EcbWjT00oULB09taHQN2
Walking Through	ProbeDoor1	"Monday, March 26, 2018 10:57 AM"	GFjiNo87EcbWjT00oULB09taHQN2
Walking Through	MissionDoor1	"Monday, March 26, 2018 10:57 AM"	GFjiNo87EcbWjT00oULB09taHQN2
Walking Through	MissionDoor1	"Monday, March 26, 2018 11:03 AM"	GFjiNo87EcbWjT00oULB09taHQN2
Walking Through	ProbeDoor1	"Monday, March 26, 2018 11:03 AM"	GFjiNo87EcbWjT00oULB09taHQN2
Walking Through	ProbeDoor1	"Monday, March 26, 2018 11:05 AM"	GFjiNo87EcbWjT00oULB09taHQN2
Walking Through	MissionDoor1	"Monday, March 26, 2018 11:05 AM"	GFjiNo87EcbWjT00oULB09taHQN2
Walking Through	MissionDoor1	"Monday, March 26, 2018 11:07 AM"	GFjiNo87EcbWjT00oULB09taHQN2
Walking Through	AlienDoor1	"Monday, March 26, 2018 11:07 AM"	GFjiNo87EcbWjT00oULB09taHQN2
Walking Through	AlienDoor1	"Monday, March 26, 2018 11:08 AM"	GFjiNo87EcbWjT00oULB09taHQN2
Walking Through	ProbeDoor1	"Monday, March 26, 2018 11:08 AM"	GFjiNo87EcbWjT00oULB09taHQN2
Walking Through	ProbeDoor1	"Monday, March 26, 2018 11:15 AM"	GFjiNo87EcbWjT00oULB09taHQN2
Walking Through	MissionDoor1	"Monday, March 26, 2018 11:15 AM"	GFjiNo87EcbWjT00oULB09taHQN2
Walking Through	MissionDoor1	"Monday, March 26, 2018 11:17 AM"	GFjiNo87EcbWjT00oULB09taHQN2
Walking Through	AlienDoor1	"Monday, March 26, 2018 11:17 AM"	GFjiNo87EcbWjT00oULB09taHQN2
Walking Through	AlienDoor1	"Monday, March 26, 2018 11:18 AM"	GFjiNo87EcbWjT00oULB09taHQN2
Walking Through	MissionDoor1	"Monday, March 26, 2018 11:18 AM"	GFjiNo87EcbWjT00oULB09taHQN2
Walking Through	MissionDoor1	"Monday, March 26, 2018 11:20 AM"	GFjiNo87EcbWjT00oULB09taHQN2
Walking Through	AlienDoor1	"Thursday, March 1, 2018 12:49 PM"	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Walking Through	ProbeDoor1	"Thursday, March 1, 2018 1:04 PM"	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Walking Through	ProbeDoor1	"Thursday, March 1, 2018 1:04 PM"	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Walking Through	ProbeDoor1	"Thursday, March 1, 2018 1:04 PM"	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Walking Through	ProbeDoor1	"Thursday, March 1, 2018 1:05 PM"	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Walking Through	MissionDoor1	"Thursday, March 1, 2018 1:05 PM"	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Walking Through	MissionDoor1	"Thursday, March 1, 2018 1:05 PM"	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Walking Through	ProbeDoor1	"Thursday, March 1, 2018 1:07 PM"	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Walking Through	ProbeDoor1	"Thursday, March 1, 2018 1:08 PM"	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Walking Through	MissionDoor1	"Thursday, March 1, 2018 1:09 PM"	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Walking Through	MissionDoor1	"Thursday, March 1, 2018 1:09 PM"	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Walking Through	AlienDoor1	"Thursday, March 1, 2018 1:12 PM"	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Walking Through	AlienDoor1	"Thursday, March 1, 2018 1:19 PM"	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Walking Through	AlienDoor1	"Thursday, March 1, 2018 1:24 PM"	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Walking Through	ProbeDoor1	"Thursday, March 1, 2018 1:24 PM"	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Walking Through	ProbeDoor1	"Thursday, March 1, 2018 1:27 PM"	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Walking Through	MissionDoor1	"Thursday, March 1, 2018 1:28 PM"	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Walking Through	MissionDoor1	"Thursday, March 1, 2018 1:28 PM"	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Walking Through	AlienDoor1	"Thursday, March 1, 2018 1:28 PM"	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Walking Through	AlienDoor1	"Thursday, March 1, 2018 1:29 PM"	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Walking Through	ProbeDoor1	"Thursday, March 1, 2018 1:29 PM"	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Walking Through	ProbeDoor1	"Thursday, March 1, 2018 1:32 PM"	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Walking Through	MissionDoor1	"Thursday, March 1, 2018 1:32 PM"	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Walking Through	MissionDoor1	"Thursday, March 1, 2018 1:33 PM"	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Walking Through	AlienDoor1	"Thursday, March 1, 2018 1:33 PM"	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
