|__dataLog__action	|__dataLog__note	|__dataLog__timestamp	|__dataLog__tool	|__dataLog__userId
Click Nav Menu	jakalaTay	"Wednesday, November 29, 2017 10:35 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click Section	Communication	"Wednesday, November 29, 2017 10:38 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click Section	Food	"Wednesday, November 29, 2017 10:38 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click Section	Habitat & Dwellings	"Wednesday, November 29, 2017 10:39 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click Section	Technology	"Wednesday, November 29, 2017 10:40 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click Nav Menu	solarSystem	"Wednesday, November 29, 2017 10:41 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click Section	Inhabited Worlds	"Wednesday, November 29, 2017 10:41 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click SubSection	Tay	"Wednesday, November 29, 2017 10:41 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click Section	Uninhabited Worlds	"Wednesday, November 29, 2017 10:43 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click SubSection	Belus	"Wednesday, November 29, 2017 10:43 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click Section	Uninhabited Worlds	"Wednesday, November 29, 2017 10:44 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click SubSection	Belus	"Wednesday, November 29, 2017 10:44 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click SubSection	DelShar	"Wednesday, November 29, 2017 10:44 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click SubSection	Neb	"Wednesday, November 29, 2017 10:44 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click SubSection	Milar	"Wednesday, November 29, 2017 10:44 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click SubSection	Tayoun	"Wednesday, November 29, 2017 10:45 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click SubSection	Zuvi	"Wednesday, November 29, 2017 10:45 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click Section	Our History	"Wednesday, November 29, 2017 10:45 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click Section	Our Sun	"Wednesday, November 29, 2017 10:45 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click Section	Trade	"Wednesday, November 29, 2017 10:45 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click Nav Menu	journey	"Wednesday, November 29, 2017 10:45 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click Section	Finding You	"Wednesday, November 29, 2017 10:46 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click Section	Leaving Our Worlds	"Wednesday, November 29, 2017 10:46 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click Section	Our Ship	"Wednesday, November 29, 2017 10:46 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click SubSection	Computer	"Wednesday, November 29, 2017 10:47 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click SubSection	Moving	"Wednesday, November 29, 2017 10:47 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click SubSection	Small Ships	"Wednesday, November 29, 2017 10:47 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click SubSection	Supplies	"Wednesday, November 29, 2017 10:47 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click Section	The Accidents	"Wednesday, November 29, 2017 10:47 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click Nav Menu	jakalaTay	"Wednesday, November 29, 2017 10:49 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click Section	Communication	"Wednesday, November 29, 2017 10:49 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click Section	Food	"Wednesday, November 29, 2017 10:49 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click Nav Menu	journey	"Wednesday, November 29, 2017 10:53 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click Nav Menu	solarSystem	"Wednesday, November 29, 2017 10:53 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click Nav Menu	jakalaTay	"Wednesday, November 29, 2017 11:09 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click Section	Communication	"Wednesday, November 29, 2017 11:09 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click Section	Food	"Wednesday, November 29, 2017 11:09 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click Section	Habitat & Dwellings	"Wednesday, November 29, 2017 11:10 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click Nav Menu	journey	"Wednesday, November 29, 2017 11:11 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click Section	Our Ship	"Wednesday, November 29, 2017 11:11 AM"	Alien DB	0eMO7JyKimSMtLXKqCv9c6q9PcI2
Click Nav Menu	journey	"Friday, December 1, 2017 1:31 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click Section	Finding You	"Friday, December 1, 2017 1:31 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click Section	Leaving Our Worlds	"Friday, December 1, 2017 1:32 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click Section	Our Ship	"Friday, December 1, 2017 1:32 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click Section	The Accidents	"Friday, December 1, 2017 1:33 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click Section	Our Ship	"Friday, December 1, 2017 1:33 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click SubSection	Computer	"Friday, December 1, 2017 1:33 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click SubSection	Moving	"Friday, December 1, 2017 1:34 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click SubSection	Small Ships	"Friday, December 1, 2017 1:34 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click SubSection	Supplies	"Friday, December 1, 2017 1:34 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click Nav Menu	jakalaTay	"Friday, December 1, 2017 1:35 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click Section	Communication	"Friday, December 1, 2017 1:36 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click Section	Food	"Friday, December 1, 2017 1:36 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click Section	Habitat & Dwellings	"Friday, December 1, 2017 1:36 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click Section	Technology	"Friday, December 1, 2017 1:37 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click Section	Habitat & Dwellings	"Friday, December 1, 2017 1:37 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click Section	Technology	"Friday, December 1, 2017 1:37 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click Nav Menu	solarSystem	"Friday, December 1, 2017 1:38 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click Section	Inhabited Worlds	"Friday, December 1, 2017 1:38 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click Section	Our Solar System	"Friday, December 1, 2017 1:38 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click Section	Inhabited Worlds	"Friday, December 1, 2017 1:39 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click Section	Uninhabited Worlds	"Friday, December 1, 2017 1:39 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click SubSection	Belus	"Friday, December 1, 2017 1:39 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click SubSection	Uninhabited Worlds	"Friday, December 1, 2017 1:39 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click SubSection	Belus	"Friday, December 1, 2017 1:39 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click SubSection	DelShar	"Friday, December 1, 2017 1:39 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click SubSection	Neb	"Friday, December 1, 2017 1:40 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click Section	Inhabited Worlds	"Friday, December 1, 2017 1:40 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click SubSection	Akonid	"Friday, December 1, 2017 1:40 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click SubSection	Eola	"Friday, December 1, 2017 1:40 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click SubSection	Tay	"Friday, December 1, 2017 1:40 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click SubSection	Sylcar	"Friday, December 1, 2017 1:40 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click SubSection	Wroft-Gar	"Friday, December 1, 2017 1:40 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click SubSection	Tay	"Friday, December 1, 2017 1:40 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click SubSection	Akonid	"Friday, December 1, 2017 1:40 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click SubSection	Inhabited Worlds	"Friday, December 1, 2017 1:40 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click SubSection	Akonid	"Friday, December 1, 2017 1:40 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click SubSection	Eola	"Friday, December 1, 2017 1:40 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click SubSection	Tay	"Friday, December 1, 2017 1:41 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click Nav Menu	solarSystem	"Friday, December 1, 2017 1:42 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click Section	Inhabited Worlds	"Friday, December 1, 2017 1:42 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click SubSection	Tay	"Friday, December 1, 2017 1:42 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click Section	Our History	"Friday, December 1, 2017 1:43 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
